id,kode_provinsi,nama_provinsi,umur,jenis_kelamin,jumlah_kepala_keluarga,satuan,tahun
62,32,JAWA BARAT,30-34,PEREMPUAN,127683,KEPALA KELUARGA,2018
63,32,JAWA BARAT,35-39,LAKI-LAKI,1708507,KEPALA KELUARGA,2018
64,32,JAWA BARAT,35-39,PEREMPUAN,165976,KEPALA KELUARGA,2018
65,32,JAWA BARAT,40-44,LAKI-LAKI,1616061,KEPALA KELUARGA,2018
66,32,JAWA BARAT,40-44,PEREMPUAN,186007,KEPALA KELUARGA,2018
67,32,JAWA BARAT,45-49,LAKI-LAKI,1571423,KEPALA KELUARGA,2018
68,32,JAWA BARAT,45-49,PEREMPUAN,213448,KEPALA KELUARGA,2018
69,32,JAWA BARAT,50-54,LAKI-LAKI,1284082,KEPALA KELUARGA,2018
70,32,JAWA BARAT,50-54,PEREMPUAN,233392,KEPALA KELUARGA,2018
71,32,JAWA BARAT,55-59,LAKI-LAKI,1070054,KEPALA KELUARGA,2018
72,32,JAWA BARAT,55-59,PEREMPUAN,253562,KEPALA KELUARGA,2018
73,32,JAWA BARAT,60-64,LAKI-LAKI,814303,KEPALA KELUARGA,2018
74,32,JAWA BARAT,60-64,PEREMPUAN,250046,KEPALA KELUARGA,2018
75,32,JAWA BARAT,65-69,LAKI-LAKI,572520,KEPALA KELUARGA,2018
76,32,JAWA BARAT,65-69,PEREMPUAN,215914,KEPALA KELUARGA,2018
77,32,JAWA BARAT,70-74,LAKI-LAKI,324118,KEPALA KELUARGA,2018
78,32,JAWA BARAT,70-74,PEREMPUAN,171398,KEPALA KELUARGA,2018
79,32,JAWA BARAT,> 75,LAKI-LAKI,398667,KEPALA KELUARGA,2018
80,32,JAWA BARAT,> 75,PEREMPUAN,240594,KEPALA KELUARGA,2018
81,32,JAWA BARAT,15-19,LAKI-LAKI,10170,KEPALA KELUARGA,2019
82,32,JAWA BARAT,15-19,PEREMPUAN,7432,KEPALA KELUARGA,2019
83,32,JAWA BARAT,20-24,LAKI-LAKI,277981,KEPALA KELUARGA,2019
84,32,JAWA BARAT,20-24,PEREMPUAN,57180,KEPALA KELUARGA,2019
85,32,JAWA BARAT,25-29,LAKI-LAKI,1001524,KEPALA KELUARGA,2019
86,32,JAWA BARAT,25-29,PEREMPUAN,112721,KEPALA KELUARGA,2019
87,32,JAWA BARAT,30-34,LAKI-LAKI,1425141,KEPALA KELUARGA,2019
88,32,JAWA BARAT,30-34,PEREMPUAN,130886,KEPALA KELUARGA,2019
89,32,JAWA BARAT,35-39,LAKI-LAKI,1743461,KEPALA KELUARGA,2019
90,32,JAWA BARAT,35-39,PEREMPUAN,175265,KEPALA KELUARGA,2019
91,32,JAWA BARAT,40-44,LAKI-LAKI,1673984,KEPALA KELUARGA,2019
