id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,jumlah_korban,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,LAKI-LAKI,0,KORBAN,2018
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,PEREMPUAN,1,KORBAN,2018
3,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAKI-LAKI,1,KORBAN,2018
4,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PEREMPUAN,9,KORBAN,2018
5,32,JAWA BARAT,3203,KABUPATEN CIANJUR,LAKI-LAKI,1,KORBAN,2018
6,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PEREMPUAN,0,KORBAN,2018
7,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LAKI-LAKI,0,KORBAN,2018
8,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PEREMPUAN,7,KORBAN,2018
9,32,JAWA BARAT,3205,KABUPATEN GARUT,LAKI-LAKI,0,KORBAN,2018
10,32,JAWA BARAT,3205,KABUPATEN GARUT,PEREMPUAN,0,KORBAN,2018
11,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,3,KORBAN,2018
12,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEREMPUAN,11,KORBAN,2018
13,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LAKI-LAKI,0,KORBAN,2018
14,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PEREMPUAN,3,KORBAN,2018
15,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAKI-LAKI,0,KORBAN,2018
16,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PEREMPUAN,1,KORBAN,2018
17,32,JAWA BARAT,3209,KABUPATEN CIREBON,LAKI-LAKI,2,KORBAN,2018
18,32,JAWA BARAT,3209,KABUPATEN CIREBON,PEREMPUAN,13,KORBAN,2018
19,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAKI-LAKI,0,KORBAN,2018
20,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEREMPUAN,1,KORBAN,2018
21,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAKI-LAKI,0,KORBAN,2018
22,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PEREMPUAN,6,KORBAN,2018
23,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAKI-LAKI,0,KORBAN,2018
24,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PEREMPUAN,2,KORBAN,2018
25,32,JAWA BARAT,3213,KABUPATEN SUBANG,LAKI-LAKI,0,KORBAN,2018
26,32,JAWA BARAT,3213,KABUPATEN SUBANG,PEREMPUAN,10,KORBAN,2018
27,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAKI-LAKI,0,KORBAN,2018
28,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PEREMPUAN,0,KORBAN,2018
29,32,JAWA BARAT,3215,KABUPATEN KARAWANG,LAKI-LAKI,1,KORBAN,2018
30,32,JAWA BARAT,3215,KABUPATEN KARAWANG,PEREMPUAN,9,KORBAN,2018
31,32,JAWA BARAT,3216,KABUPATEN BEKASI,LAKI-LAKI,1,KORBAN,2018
32,32,JAWA BARAT,3216,KABUPATEN BEKASI,PEREMPUAN,1,KORBAN,2018
33,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,LAKI-LAKI,4,KORBAN,2018
34,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PEREMPUAN,10,KORBAN,2018
35,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,LAKI-LAKI,0,KORBAN,2018
36,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PEREMPUAN,2,KORBAN,2018
37,32,JAWA BARAT,3271,KOTA BOGOR,LAKI-LAKI,0,KORBAN,2018
38,32,JAWA BARAT,3271,KOTA BOGOR,PEREMPUAN,1,KORBAN,2018
39,32,JAWA BARAT,3272,KOTA SUKABUMI,LAKI-LAKI,1,KORBAN,2018
40,32,JAWA BARAT,3272,KOTA SUKABUMI,PEREMPUAN,7,KORBAN,2018
